title,column,swimlane,priority,due_date,weight,labels,assignee,checklist_total,checklist_done,comment_count,description_preview
Fix card drag on iOS 17 with new UIKit scroll fix,Backlog,Backend,high,,8,"Improve,Feature",demo1,0,0,0,
Push notification for card assignment,Doing,Mobile,urgent,,3,"Bug,Tech Debt",demo3,5,4,0,
Offline mode: queue moves while disconnected,To Do,DevOps,medium,2026-04-14,2,"Feature,Improve",,0,0,0,
Implement biometric unlock for app launch,Backlog,Design,low,2026-02-26,6,Improve,demo2,0,0,2,
Add haptic feedback to card drag interactions,Backlog,QA,medium,2026-03-28,4,,demo4,0,0,0,
Fix board list pull-to-refresh animation jank,To Do,Data,urgent,2026-03-15,3,Blocked,demo1,0,0,2,
Implement deep linking for card URLs,Backlog,Security,medium,2026-02-26,7,Bug,demo3,3,2,0,
Add widget for due-soon cards on home screen,To Do,Platform,medium,2026-03-25,5,"Tech Debt,Improve",,0,0,2,
Fix memory leak in board WebSocket connection on background,Done,Documentation,low,2026-04-25,6,"Bug,Feature",demo2,0,0,2,
Optimize image attachment thumbnails for cellular,To Do,Growth,medium,2026-04-14,3,"Improve,Tech Debt",demo4,3,1,0,
Rotate CI/CD secrets — 90-day policy,Done,Frontend,medium,2026-04-07,8,,demo1,0,0,0,
Add Prometheus metrics to API gateway,Doing,Backend,medium,2026-04-24,8,Feature,demo3,0,0,2,
Kubernetes pod autoscaling HPA tuning,To Do,Mobile,high,2026-02-17,1,"Bug,Tech Debt",,0,0,2,
Zero-downtime deployment runbook,Review,DevOps,low,2026-02-22,5,"Blocked,Bug",demo2,0,0,2,
Migrate staging environment to Terraform modules,Done,Design,urgent,2026-03-06,1,"Blocked,Improve",demo4,5,2,0,
Set up PagerDuty escalation policy for P1 alerts,To Do,QA,medium,2026-03-20,5,Blocked,demo1,3,2,0,
Implement log aggregation with Loki,Review,Data,medium,,3,Tech Debt,demo3,0,0,2,
Add canary deployment step to CI pipeline,Doing,Security,urgent,2026-03-18,2,"Tech Debt,Blocked",,3,2,2,
Configure cross-region disaster recovery failover,Backlog,Platform,high,2026-04-09,5,"Bug,Improve",demo2,0,0,1,
Optimize Docker image layers to reduce build time,Doing,Documentation,high,2026-03-08,6,Bug,demo4,2,1,0,
Set up cost alerting for AWS budget thresholds,To Do,Growth,low,2026-02-24,1,,demo1,0,0,0,
Component audit — identify inconsistent spacing,Done,Frontend,high,2026-02-28,2,,demo3,3,2,2,
Redesign empty state illustrations,Doing,Backend,medium,,7,Improve,,0,0,2,
User research: onboarding friction study,To Do,Mobile,high,2026-03-03,7,Tech Debt,demo2,0,0,1,
Dark mode color system — token audit,Doing,DevOps,urgent,2026-04-17,3,Bug,demo4,0,0,2,
Design card detail v2 with tabs layout,Doing,Design,urgent,2026-04-09,7,,demo1,0,0,0,
Create icon library for board actions,Doing,QA,low,2026-04-15,2,"Improve,Blocked",demo3,0,0,0,
Prototype swimlane grouping interactions,Done,Data,low,2026-03-28,2,,,0,0,1,
Design accessibility audit report template,Backlog,Security,medium,2026-03-23,7,,demo2,0,0,1,
Illustrate onboarding walkthrough screens,Doing,Platform,medium,2026-02-16,4,Blocked,demo4,0,0,2,
Update color palette for WCAG AAA contrast,To Do,Documentation,high,2026-02-28,4,,demo1,0,0,1,
Design board sharing and permission UI,To Do,Growth,low,2026-03-03,8,"Blocked,Bug",demo3,3,1,0,
Write E2E tests for card drag-and-drop flow,Review,Frontend,low,,2,Bug,,0,0,2,
Add visual regression tests with Playwright screenshots,Backlog,Backend,urgent,,4,Improve,demo2,4,3,2,
Automate accessibility audit in CI pipeline,Backlog,Mobile,medium,,5,"Feature,Blocked",demo4,4,2,1,
Fix flaky WebSocket reconnection test,To Do,DevOps,low,2026-03-09,2,,demo1,0,0,0,
Add load test suite for board full endpoint,Review,Design,high,2026-04-13,4,Bug,demo3,0,0,0,
Write integration tests for bulk card operations,Done,QA,medium,2026-03-05,1,"Improve,Feature",,0,0,2,
Create test data factory for seed board generation,Backlog,Data,urgent,2026-04-19,2,Tech Debt,demo2,0,0,1,
Fix timezone-dependent test failures in CI,To Do,Security,low,2026-02-25,4,Tech Debt,demo4,0,0,2,
Add cross-browser test matrix for Safari and Firefox,Done,Platform,medium,2026-04-01,3,Improve,demo1,0,0,1,
Implement API contract tests for webhook payloads,Backlog,Documentation,medium,2026-04-13,8,"Feature,Improve",demo3,0,0,0,
Write performance benchmark for card search,Doing,Growth,high,,4,"Feature,Tech Debt",,0,0,2,
Build daily active users dashboard in Metabase,To Do,Frontend,medium,,3,,demo2,0,0,1,
Implement event tracking for card movement analytics,Doing,Backend,high,2026-04-21,7,Tech Debt,demo4,0,0,1,
Create board utilization report query,Done,Mobile,medium,2026-03-15,2,"Feature,Tech Debt",demo1,0,0,0,
Set up dbt models for customer health scoring,Backlog,DevOps,medium,2026-03-02,7,"Tech Debt,Bug",demo3,0,0,2,
Fix data pipeline lag on card_movements ETL,Doing,Design,high,,4,Blocked,,0,0,0,
Add retention cohort analysis query,Backlog,QA,high,2026-02-19,2,"Blocked,Bug",demo2,3,2,0,
Build funnel analysis for onboarding flow,Doing,Data,urgent,2026-03-11,4,"Blocked,Tech Debt",demo4,2,1,0,
Implement A/B test framework for feature flags,To Do,Security,high,2026-04-22,5,"Bug,Feature",demo1,0,0,1,
Create board activity heatmap data pipeline,To Do,Platform,low,2026-03-20,2,"Feature,Blocked",demo3,0,0,0,
Optimize slow-running analytics aggregation job,To Do,Documentation,high,2026-03-01,8,"Bug,Improve",,2,1,2,
Add data quality checks to ETL pipeline,To Do,Growth,medium,2026-03-24,3,Tech Debt,demo2,4,2,1,
Run OWASP ZAP scan against staging environment,Backlog,Frontend,low,2026-03-25,3,"Feature,Blocked",demo4,0,0,2,
Implement CSP nonce-based script loading,Doing,Backend,medium,2026-02-28,1,"Feature,Tech Debt",demo1,0,0,2,
Audit API endpoints for IDOR vulnerabilities,Done,Mobile,urgent,,3,"Improve,Bug",demo3,0,0,0,
Add HSTS preload header to all responses,Backlog,DevOps,high,2026-02-16,7,Tech Debt,,4,2,1,
Review and rotate all service account credentials,Backlog,Design,medium,2026-04-19,1,,demo2,3,3,0,
Implement subresource integrity for CDN assets,Review,QA,low,2026-04-10,7,,demo4,5,2,2,
Add rate limiting to password reset endpoint,To Do,Data,high,2026-04-26,3,"Improve,Tech Debt",demo1,4,2,2,
Conduct dependency vulnerability scan with Trivy,To Do,Security,high,2026-02-16,2,"Bug,Improve",demo3,0,0,2,
Review WebSocket authentication flow for token replay,Doing,Platform,high,2026-03-18,3,Improve,,0,0,0,
Implement audit log tamper detection,To Do,Documentation,low,2026-04-07,6,"Blocked,Bug",demo2,0,0,0,
Fix insecure direct object reference in card attachments,Backlog,Growth,low,2026-03-06,6,,demo4,0,0,0,
Build shared React component library package,To Do,Frontend,high,2026-03-31,2,"Feature,Bug",demo1,4,2,0,
Create internal CLI tool for board template generation,Review,Backend,high,2026-04-21,2,Bug,demo3,0,0,0,
Implement feature flag service with LaunchDarkly,To Do,Mobile,medium,2026-03-02,8,,,0,0,0,
Build developer onboarding automation script,To Do,DevOps,high,2026-02-28,4,Feature,demo2,3,1,0,
Create shared error handling middleware,Doing,Design,low,2026-02-17,1,"Bug,Blocked",demo4,2,1,0,
Implement structured logging format across services,Backlog,QA,medium,2026-03-03,5,,demo1,3,2,1,
Build internal API client SDK for Python,Done,Data,high,2026-02-25,4,,demo3,0,0,1,
Create shared TypeScript types package,Backlog,Security,medium,,7,Tech Debt,,4,1,2,
Implement health check endpoint aggregation,To Do,Platform,high,2026-04-10,4,"Tech Debt,Feature",demo2,0,0,0,
Build local development environment setup script,Review,Documentation,high,2026-02-14,8,"Tech Debt,Bug",demo4,5,2,0,
Create shared test utilities package,Doing,Growth,medium,,5,"Improve,Tech Debt",demo1,0,0,0,
Write API authentication guide for third-party developers,Done,Frontend,high,2026-04-12,2,"Tech Debt,Feature",demo3,0,0,1,
Update board template creation tutorial,Review,Backend,medium,2026-03-07,7,"Feature,Improve",,0,0,1,
Document WebSocket event schema for integrators,Doing,Mobile,urgent,2026-03-22,8,"Blocked,Improve",demo2,0,0,1,
Write migration guide from Jira to Visiban,Review,DevOps,low,2026-03-25,7,Bug,demo4,4,2,2,
Create admin guide for SSO configuration,Backlog,Design,medium,2026-04-02,6,"Improve,Bug",demo1,2,1,2,
Document card movement audit trail for compliance,Done,QA,medium,2026-03-16,4,"Blocked,Bug",demo3,0,0,2,
Write troubleshooting guide for common import errors,Doing,Data,low,2026-04-08,7,"Blocked,Bug",,0,0,2,
Update changelog for v1.3 release,Backlog,Security,high,2026-04-17,6,"Improve,Tech Debt",demo2,2,2,0,
Create developer quickstart guide,To Do,Platform,medium,2026-02-24,2,"Bug,Tech Debt",demo4,0,0,1,
Document rate limiting behavior and headers,Doing,Documentation,medium,2026-04-23,6,"Improve,Tech Debt",demo1,0,0,1,
Write swimlane best practices guide,Review,Growth,high,2026-04-13,5,,demo3,0,0,0,
Implement onboarding checklist progress bar,Doing,Frontend,medium,,1,"Tech Debt,Feature",,4,3,0,
Add contextual tooltips for first-time board users,Doing,Backend,medium,2026-03-15,7,Feature,demo2,4,3,2,
Build upgrade prompt for seat limit warnings,Done,Mobile,medium,,1,,demo4,4,1,1,
Implement trial expiry reminder email sequence,Done,DevOps,high,2026-04-28,5,Feature,demo1,0,0,0,
Add in-app NPS survey after 30 days,To Do,Design,urgent,2026-04-03,4,,demo3,2,1,1,
Build referral link generation for existing users,To Do,QA,low,2026-04-08,8,"Feature,Improve",,0,0,2,
Implement usage-based activation scoring,Doing,Data,urgent,2026-03-17,7,"Bug,Feature",demo2,0,0,2,
Add empty board state with template suggestions,To Do,Security,urgent,,8,"Bug,Improve",demo4,0,0,0,
Build week-over-week engagement report for CS team,Done,Platform,medium,,6,Feature,demo1,0,0,2,
Implement smart default board for new signups,To Do,Documentation,low,,3,Bug,demo3,0,0,0,
Add feature discovery prompts for underused features,To Do,Growth,low,2026-03-16,3,,,0,0,0,
